"","Country","Mean"
"266","Stateless",NA
"267","Sudan",NA
"268","Suriname",NA
"269","Svalbard & Jan Mayen",NA
"270","São Tomé & Príncipe",NA
"271","Tanzania",NA
"272","Tibet",NA
"273","Timor-Leste",NA
"274","Togo",NA
"275","Tokelau",NA
"276","Tonga",NA
"277","Trinidad & Tobago",NA
"278","Turks & Caicos Islands",NA
"279","Tuscany",NA
"280","Tuvalu",NA
"281","Two Sicilies",NA
"282","U.S. Virgin Islands",NA
"283","Uganda",NA
"284","United Arab Emirates",NA
"285","United Arab Republic",NA
"286","United Kingdom",NA
"287","United Province CA",NA
"288","United States",NA
"289","United States Minor Outlying Islands (the)",NA
"290","Unknown",NA
"291","Vanuatu",NA
"292","Vatican City",NA
"293","Vietnam",NA
"294","Wallis & Futuna",NA
"295","Western Sahara",NA
"296","Wuerttemburg",NA
"297","Würtemberg",NA
"298","Yemen",NA
"299","Yemen Arab Republic",NA
"300","Yemen People's Republic",NA
"301","Yugoslavia",NA
"302","Zambia",NA
"303","Zanzibar",NA
"304","Åland Islands",NA
